,,,54571
#,Input,Subbed,Stripped
1,rhqrpdxsqhgxzknr2foursnrcfthree,rhqrpdxsqhgxzknr24snrcf3,23
2,2bmckl,2bmckl,22
3,four95qvkvveight5,495qvkvv85,45
4,2tqbxgrrpmxqfglsqjkqthree6nhjvbxpflhr1eightwohr,2tqbxgrrpmxqfglsqjkq36nhjvbxpflhr18wohr,28
5,7two68,7268,78
6,nine7twoslseven4sfoursix,972sl74s46,96
7,fivemnjxbrnsvl3,5mnjxbrnsvl3,53
8,3qcfxgzsevenone1rv,3qcfxgz711rv,31
9,9four6dk7gvv,946dk7gvv,97
10,nine91threepdcthjkmrthreeeightwonsg,9913pdcthjkmr38wonsg,98
11,fivetglzqdfthreergnseight2lpphhbd,5tglzqdf3rgns82lpphhbd,52
12,fourtwohldlr6294,42hldlr6294,44
13,qkvc7pvsv6rvsxlqzpjdjkd1eightthree,qkvc7pvsv6rvsxlqzpjdjkd183,73
14,onefourm5qpfvdnbs,14m5qpfvdnbs,15
15,ql8jbzzjpsdgmrjtngrkfdmcsix6eightsix,ql8jbzzjpsdgmrjtngrkfdmc6686,86
16,8nl2,8nl2,82
17,5lfzqhgeightnine,5lfzqhg89,59
18,three313eight2zcjnnmtnh,331382zcjnnmtnh,32
19,4three77dgjzfj4five,4377dgjzfj45,45
20,ntr5sixfourznnljvqdr5one,ntr564znnljvqdr51,51
21,threedlmnd98nineeighteight7,3dlmnd989887,37
22,pzcnnbjjthreefmlf9znfnkdrjs,pzcnnbjj3fmlf9znfnkdrjs,39
23,flbdjkseven7338qxzbcsx6,flbdjk77338qxzbcsx6,76
24,six43fourthree2,643432,62
25,one24hndgmz37mjqqm1,124hndgmz37mjqqm1,11
26,4fiverlgtbr,45rlgtbr,45
27,7hqtlxgngd15qkfl2three,7hqtlxgngd15qkfl23,73
28,mtcztwo46one,mtcz2461,21
29,3onefivechmlkgp87clrmmhseven,315chmlkgp87clrmmh7,37
30,tvsctqdlns1hhhctpn34cztkqzztpcgtzhgrtt,tvsctqdlns1hhhctpn34cztkqzztpcgtzhgrtt,14
31,four8flptk,48flptk,48
32,6zkb,6zkb,66
33,7eight9fivesix75hclgfphhvv,7895675hclgfphhvv,75
34,ct53qdjpnkdpxdhvpqqcx8,ct53qdjpnkdpxdhvpqqcx8,58
35,144six,1446,16
36,kbjtmgfrx3mpmjhncfl78nine,kbjtmgfrx3mpmjhncfl789,39
37,7sgnlbdfivecxz,7sgnlbd5cxz,75
38,oneqrbbnrdxgbbfl3,1qrbbnrdxgbbfl3,13
39,8ndmrfggfz1six87,8ndmrfggfz1687,87
